t_s,vbat_mv,state
0,4196,lit
60,4192,-
120,4192,-
180,4184,-
240,4192,-
300,4186,-
360,4184,-
420,4184,-
480,4180,-
540,4182,-
600,4176,-
660,4180,-
720,4174,-
780,4170,-
840,4168,-
900,4166,-
960,4166,-
1020,4170,-
1080,4160,-
1140,4158,-
1200,4162,-
1260,4158,-
1320,4154,-
1380,4154,-
1440,4154,-
1500,4154,-
1560,4150,-
1620,4152,-
1680,4150,-
1740,4144,-
1800,4144,-
1860,4138,-
1920,4138,-
1980,4142,-
2040,4134,-
2100,4134,-
2160,4134,-
2220,4134,-
2280,4134,-
2340,4130,-
2400,4128,-
2460,4128,-
2520,4128,-
2580,4124,-
2640,4120,-
2700,4118,-
2760,4118,-
2820,4118,-
2880,4112,-
2940,4116,-
3000,4116,-
3060,4108,-
3120,4112,-
3180,4108,-
3240,4104,-
3300,4104,-
3360,4102,-
3420,4102,-
3480,4104,-
3540,4102,-
3600,4098,-
3660,4098,-
3720,4092,-
3780,4092,-
3840,4092,-
3900,4086,-
3960,4090,-
4020,4092,-
4080,4086,-
4140,4086,-
4200,4084,-
4260,4084,-
4320,4080,-
4380,4078,-
4440,4078,-
4500,4078,-
4560,4076,-
4620,4078,-
4680,4076,-
4740,4072,-
4800,4070,-
4860,4070,-
4920,4066,-
4980,4060,-
5040,4064,-
5100,4060,-
5160,4066,-
5220,4066,-
5280,4060,-
5340,4060,-
5400,4058,-
5460,4054,-
5520,4052,-
5580,4050,-
5640,4046,-
5700,4050,-
5760,4044,-
5820,4050,-
5880,4044,-
5940,4042,-
6000,4036,-
6060,4038,-
6120,4038,-
6180,4040,-
6240,4038,-
6300,4034,-
6360,4038,-
6420,4034,-
6480,4032,-
6540,4030,-
6600,4032,-
6660,4028,-
6720,4026,-
6780,4024,-
6840,4020,-
6900,4016,-
6960,4024,-
7020,4020,-
7080,4020,-
7140,4018,-
7200,4018,-
7260,4012,-
7320,4014,-
7380,4012,-
7440,4008,-
7500,4008,-
7560,4004,-
7620,4008,-
7680,4004,-
7740,4004,-
7800,3996,-
7860,3996,-
7920,3994,-
7980,4000,-
8040,3994,-
8100,3994,-
8160,3996,-
8220,3992,-
8280,3992,-
8340,3986,-
8400,3990,-
8460,3992,-
8520,3988,-
8580,3988,-
8640,3984,-
8700,3984,-
8760,3976,-
8820,3978,-
8880,3978,-
8940,3978,-
9000,3976,-
9060,3974,-
9120,3972,-
9180,3972,-
9240,3972,-
9300,3968,-
9360,3968,-
9420,3964,-
9480,3968,-
9540,3964,-
9600,3962,-
9660,3964,-
9720,3962,-
9780,3960,-
9840,3956,-
9900,3962,-
9960,3960,-
10020,3954,-
10080,3954,-
10140,3950,-
10200,3956,-
10260,3946,-
10320,3944,-
10380,3950,-
10440,3948,-
10500,3948,-
10560,3944,-
10620,3940,-
10680,3940,-
10740,3938,-
10800,3940,-
10860,3934,-
10920,3932,-
10980,3930,-
11040,3934,-
11100,3934,-
11160,3930,-
11220,3926,-
11280,3928,-
11340,3928,-
11400,3928,-
11460,3920,-
11520,3922,-
11580,3920,-
11640,3920,-
11700,3918,-
11760,3924,-
11820,3920,-
11880,3916,-
11940,3916,-
12000,3910,-
12060,3914,-
12120,3914,-
12180,3914,-
12240,3908,-
12300,3908,-
12360,3904,-
12420,3908,-
12480,3906,-
12540,3900,-
12600,3898,-
12660,3898,-
12720,3892,-
12780,3898,-
12840,3898,-
12900,3892,-
12960,3894,-
13020,3892,-
13080,3894,-
13140,3894,-
13200,3892,-
13260,3888,-
13320,3890,-
13380,3888,-
13440,3882,-
13500,3882,-
13560,3882,-
13620,3882,-
13680,3878,-
13740,3878,-
13800,3876,-
13860,3872,-
13920,3872,-
13980,3874,-
14040,3872,-
14100,3868,-
14160,3866,-
14220,3868,-
14280,3868,-
14340,3866,-
14400,3862,-
14460,3866,-
14520,3862,-
14580,3860,-
14640,3860,-
14700,3858,-
14760,3860,-
14820,3856,-
14880,3856,-
14940,3856,-
15000,3858,-
15060,3846,-
15120,3850,-
15180,3848,-
15240,3848,-
15300,3848,-
15360,3848,-
15420,3844,-
15480,3842,-
15540,3840,-
15600,3842,-
15660,3840,-
15720,3840,-
15780,3832,-
15840,3832,-
15900,3836,-
15960,3828,-
16020,3832,-
16080,3832,-
16140,3830,-
16200,3830,-
16260,3826,-
16320,3826,-
16380,3826,-
16440,3824,-
16500,3820,-
16560,3824,-
16620,3818,-
16680,3820,-
16740,3820,-
16800,3816,-
16860,3816,-
16920,3816,-
16980,3814,-
17040,3810,-
17100,3808,-
17160,3800,-
17220,3802,-
17280,3808,-
17340,3806,-
17400,3804,-
17460,3804,-
17520,3794,-
17580,3796,-
17640,3800,-
17700,3794,-
17760,3798,-
17820,3794,-
17880,3790,-
17940,3788,-
18000,3788,-
18060,3788,-
18120,3792,-
18180,3792,-
18240,3786,-
18300,3786,-
18360,3782,-
18420,3782,-
18480,3782,-
18540,3780,-
18600,3778,-
18660,3778,-
18720,3778,-
18780,3772,-
18840,3774,-
18900,3772,-
18960,3770,-
19020,3764,-
19080,3762,-
19140,3762,-
19200,3766,-
19260,3766,-
19320,3768,-
19380,3758,-
19440,3758,-
19500,3760,-
19560,3752,-
19620,3754,-
19680,3756,-
19740,3756,-
19800,3752,-
19860,3752,-
19920,3752,-
19980,3746,-
20040,3748,-
20100,3742,-
20160,3744,-
20220,3746,-
20280,3742,-
20340,3740,-
20400,3738,-
20460,3736,-
20520,3736,-
20580,3736,-
20640,3736,-
20700,3736,-
20760,3734,-
20820,3732,-
20880,3728,-
20940,3730,-
21000,3728,-
21060,3724,-
21120,3726,-
21180,3726,-
21240,3726,-
21300,3722,-
21360,3722,-
21420,3726,-
21480,3718,-
21540,3720,-
21600,3718,-
21660,3716,-
21720,3716,-
21780,3716,-
21840,3718,-
21900,3706,-
21960,3710,-
22020,3710,-
22080,3708,-
22140,3716,-
